Threshold,Accuracy,Precision,Recall,F1 Score,Method,Category
0.21,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.22,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.23,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.24,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.25,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.26,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.27,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.28,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.29,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.3,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.31,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.32,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.33,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.34,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.35000000000000003,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.36,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.37,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.38,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.39,0.625,0.6,0.75,0.6666666666666665,path,Safe
0.4,0.75,0.75,0.75,0.75,path,Safe
0.41000000000000003,0.75,0.75,0.75,0.75,path,Safe
0.42,0.75,0.75,0.75,0.75,path,Safe
0.43,0.75,0.75,0.75,0.75,path,Safe
0.44,0.75,0.75,0.75,0.75,path,Safe
0.45,0.75,0.75,0.75,0.75,path,Safe
0.46,0.75,0.75,0.75,0.75,path,Safe
0.47000000000000003,0.875,1.0,0.75,0.8571428571428571,path,Safe
